sort	study	ref	source	species	taxon	thermy	growth	climate_pop	climate_sp	breeding	dispersal	migration	mating	parenting	SSD	ageclass	trait	unit	direction	category	background	Mean_M	SD_M	M_n	Mean_F	SD_F	F_n	dependence	notes
1	14	"Aragon, P"	10.1007/s10164-010-0224-2	Lissotriton boscai	amphibian	ectotherm	indeterminate	temperate	temperate	iteroparous	no sex bias	yes	promiscuity	none	females larger	adults	latency to eat unknown food item	s	high values = slow	behaviour	semiwild	2.55	0.480234318	41	2.65	0.960468636	41	0	"means: Figure 2a,b"
2	14	"Aragon, P"	10.1007/s10164-010-0224-2	Lissotriton boscai	amphibian	ectotherm	indeterminate	temperate	temperate	iteroparous	no sex bias	yes	promiscuity	none	females larger	adults	number of agonistic interactions without competition	No	high values = fast	behaviour	semiwild	1.3	3.521718331	41	0.1	0.640312424	41	0	Fig 3 (control)
3	14	"Aragon, P"	10.1007/s10164-010-0224-2	Lissotriton boscai	amphibian	ectotherm	indeterminate	temperate	temperate	iteroparous	no sex bias	yes	promiscuity	none	females larger	adults	number of agonistic interactions with competition	No	high values = fast	behaviour	semiwild	1.2	3.521718331	41	6.5	9.284530144	41	0	Fig 3(competition)
53	19	"Ariyomo, TO; Watt, PJ"	10.1093/beheco/art070	Poecilia reticulata	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	promiscuity	none	females larger	adults	lines crossed in Open field	No	high values = fast	behaviour	lab	106.23	39.80201	80	77.8	50.35625085	80	0	
4	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	TI duration	s	high values = fast	behaviour	lab	36.6	40.18214156	5	54.6	81.4823171	5	0	
5	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Total distance travelled	cm	high values = fast	behaviour	lab	53.64	19.74	4	155.2	157.6651531	5	a	
6	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Net distance travelled	cm	high values = fast	behaviour	lab	36.43	25.86	4	62.26	47.35991976	5	a	
8	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Latency to cross barrier	s	high values = slow	behaviour	lab	401	585.1733653	3	45	17.06070045	3	0	
9	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	"Activity level, barrier threat"	No	high values = fast	behaviour	lab	6.8	3.778954882	5	5.33	6.711601895	6	0	
10	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	"Activity level, familiar flock"	No	high values = fast	behaviour	lab	5.2	5.456005865	5	4	5.486857024	6	0	
11	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	"Activity level, unattractive novel object"	No	high values = fast	behaviour	lab	0.4	0.536656315	5	3	5.196152423	3	0	
12	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	"Activity level, attractive novel object"	No	high values = fast	behaviour	lab	0.75	0.5	4	0.8	0.827345152	5	0	
13	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Seeds eaten alone (number seeds eaten)	No	high values = fast	behaviour	lab	189.44	197.1764743	5	22.33	50.87590196	6	0	
14	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Latency to resume eating after predator threat	s	high values = slow	behaviour	lab	111	96.14	4	395.4	313.2284023	5	0	
15	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Lysis at 20 min	score	high values = slow	physiology	lab	1.25	1.5	4	2	1.64	4	b	all immune variables measured from same blood sample
16	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Agglutination at 20 min	score	high values = slow	physiology	lab	4.25	3.68	4	5.25	1.26	4	c	all immune variables measured from same blood sample
17	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Lysis at 90 min	score	high values = slow	physiology	lab	0.75	0.96	4	0.25	0.5	4	b	all immune variables measured from same blood sample
18	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Agglutination at 90 min	score	high values = slow	physiology	lab	2.75	2.22	4	3	1.16	4	c	all immune variables measured from same blood sample
19	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Percentage of bacteria killed	score	high values = slow	physiology	lab	25.75	32.32	4	74	36.3	4	0	all immune variables measured from same blood sample
20	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	"Activity level, unfamiliar flock"	No	high values = fast	behaviour	lab	8.25	12.68	4	1.5	1.371714256	6	0	
21	66	"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I"	10.1016/j.applanim.2010.11.014	Melopsittacus undulatus	bird	endotherm	determinate	arid	arid	iteroparous	no sex bias	yes	social monogamy	both	no difference	adults	Seeds eaten in competititon	No	high values = fast	behaviour	lab	207.4	250.7303023	5	48.5	30.4961473	6	0	
28	194	"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB"	10.1111/j.1420-9101.2011.02322.x	Asellus aquaticus	arthropod	ectotherm	indeterminate	temperate	temperate	semelparous	unknown	no	promiscuity	none	males larger	adults	Emergence time	s	high values = slow	behaviour	semiwild	95	97.89279851	175	125	107.4802307	200	0	
